operon	start	end	strand	N_genes	left	right	color	type
1058	2224956	2227529	-	1	2224956	2227529	lightblue	region
1059	2228379	2228376	-	2	2228376	2228379	lightblue	region
106	199175	199985	+	2	199175	199985	lightblue	region
1060	2229508	2230233	+	1	2229508	2230233	lightblue	region
1061	2230635	2230961	+	1	2230635	2230961	lightblue	region
1062	2231199	2232374	+	1	2231199	2232374	lightblue	region
1063	2232517	2236427	+	3	2232517	2236427	lightblue	region
1064	2236505	2236816	-	1	2236505	2236816	lightblue	region
1065	2236871	2238817	-	1	2236871	2238817	lightblue	region
1066	2239179	2240846	+	1	2239179	2240846	lightblue	region
1067	2241017	2241388	+	1	2241017	2241388	lightblue	region
1068	2242581	2242568	-	2	2242568	2242581	lightblue	region
1069	2243896	2246295	+	2	2243896	2246295	lightblue	region
107	200114	200473	-	1	200114	200473	lightblue	region
1070	2246322	2247314	-	1	2246322	2247314	lightblue	region
1071	2247420	2249473	+	2	2247420	2249473	lightblue	region
1072	2251312	2251635	-	1	2251312	2251635	lightblue	region
1073	2251906	2253390	+	1	2251906	2253390	lightblue	region
1074	2259569	2254477	-	6	2254477	2259569	lightblue	region
1075	2261389	2261649	+	1	2261389	2261649	lightblue	region
1076	2261717	2262019	-	1	2261717	2262019	lightblue	region
1077	2262242	2263132	-	1	2262242	2263132	lightblue	region
1078	2263527	2264675	+	1	2263527	2264675	lightblue	region
1079	2269526	2265619	-	5	2265619	2269526	lightblue	region
108	200612	201229	-	1	200612	201229	lightblue	region
1080	2270675	2271340	+	1	2270675	2271340	lightblue	region
1081	2271557	2272591	+	1	2271557	2272591	lightblue	region
1083	2273458	2274792	-	1	2273458	2274792	lightblue	region
1084	2276629	2276598	-	2	2276598	2276629	lightblue	region
1085	2277897	2279210	-	1	2277897	2279210	lightblue	region
1086	2279591	2281600	+	2	2279591	2281600	lightblue	region
1087	2281722	2283311	-	1	2281722	2283311	lightblue	region
1088	2283521	2285578	+	1	2283521	2285578	lightblue	region
1089	2286013	2286016	-	2	2286013	2286016	lightblue	region
109	201589	203567	+	2	201589	203567	lightblue	region
1090	2287018	2287034	-	2	2287018	2287034	lightblue	region
1091	2287778	2289832	+	1	2287778	2289832	lightblue	region
1092	2289940	2291843	+	2	2289940	2291843	lightblue	region
1093	2293282	2293236	-	2	2293236	2293282	lightblue	region
1094	2303383	2294699	-	8	2294699	2303383	lightblue	region
1095	2309186	2304604	-	5	2304604	2309186	lightblue	region
1096	2309935	2310231	+	1	2309935	2310231	lightblue	region
1097	2310308	2310781	-	1	2310308	2310781	lightblue	region
1098	2311338	2313918	+	2	2311338	2313918	lightblue	region
1099	2313986	2315173	-	1	2313986	2315173	lightblue	region
110	203778	204338	+	1	203778	204338	lightblue	region
1100	2315304	2316605	+	1	2315304	2316605	lightblue	region
1101	2319817	2319806	-	2	2319806	2319817	lightblue	region
1102	2321015	2321356	-	1	2321015	2321356	lightblue	region
1103	2321640	2322938	+	1	2321640	2322938	lightblue	region
1105	2323192	2324277	+	1	2323192	2324277	lightblue	region
1106	2324350	2325372	+	1	2324350	2325372	lightblue	region
1107	2325580	2328969	+	1	2325580	2328969	lightblue	region
1108	2329880	2344389	+	10	2329880	2344389	lightblue	region
1109	2347260	2345551	-	3	2345551	2347260	lightblue	region
111	204375	205397	-	1	204375	205397	lightblue	region
1110	2349666	2349644	-	2	2349644	2349666	lightblue	region
1111	2350182	2350562	-	1	2350182	2350562	lightblue	region
1112	2350717	2353314	-	1	2350717	2353314	lightblue	region
1113	2353579	2355870	-	1	2353579	2355870	lightblue	region
1114	2358440	2358443	-	2	2358440	2358443	lightblue	region
1115	2361001	2362326	-	1	2361001	2362326	lightblue	region
1116	2362564	2368522	+	7	2362564	2368522	lightblue	region
1117	2369362	2369356	-	2	2369356	2369362	lightblue	region
1118	2370660	2372306	-	1	2370660	2372306	lightblue	region
1119	2372454	2373122	+	1	2372454	2373122	lightblue	region
112	205430	205996	+	1	205430	205996	lightblue	region
1120	2373197	2373730	-	1	2373197	2373730	lightblue	region
1121	2374026	2374637	+	1	2374026	2374637	lightblue	region
1122	2374851	2375717	-	1	2374851	2375717	lightblue	region
1123	2375781	2379113	+	4	2375781	2379113	lightblue	region
1124	2379657	2379645	-	2	2379645	2379657	lightblue	region
1125	2382391	2381129	-	3	2381129	2382391	lightblue	region
1126	2383720	2383704	-	2	2383704	2383720	lightblue	region
1127	2384372	2385475	-	1	2384372	2385475	lightblue	region
1128	2385629	2386066	+	1	2385629	2386066	lightblue	region
1129	2386198	2388801	+	2	2386198	2388801	lightblue	region
113	207627	206472	-	4	206472	207627	lightblue	region
1130	2391154	2389275	-	5	2389275	2391154	lightblue	region
1131	2392752	2394909	+	2	2392752	2394909	lightblue	region
1132	2395744	2395497	-	2	2395497	2395744	lightblue	region
1133	2400747	2400282	-	3	2400282	2400747	lightblue	region
1134	2404782	2402950	-	3	2402950	2404782	lightblue	region
1136	2408291	2406808	-	3	2406808	2408291	lightblue	region
1137	2412835	2411504	-	3	2411504	2412835	lightblue	region
1138	2416438	2414638	-	4	2414638	2416438	lightblue	region
1139	2417823	2418710	+	1	2417823	2418710	lightblue	region
114	209744	210718	+	1	209744	210718	lightblue	region
1140	2418981	2421566	+	1	2418981	2421566	lightblue	region
1141	2427332	2422667	-	8	2422667	2427332	lightblue	region
1142	2429034	2428534	-	3	2428534	2429034	lightblue	region
1143	2429576	2430202	+	1	2429576	2430202	lightblue	region
1144	2430251	2431063	-	1	2430251	2431063	lightblue	region
1145	2431217	2432236	-	1	2431217	2432236	lightblue	region
1146	2432477	2433165	+	2	2432477	2433165	lightblue	region
1147	2433493	2436995	+	2	2433493	2436995	lightblue	region
115	210848	211282	+	1	210848	211282	lightblue	region
1151	2439494	2440684	-	1	2439494	2440684	lightblue	region
1152	2441157	2442224	+	1	2441157	2442224	lightblue	region
1154	2445320	2444445	-	2	2444445	2445320	lightblue	region
1155	2446530	2447978	-	1	2446530	2447978	lightblue	region
1158	2451532	2451714	-	1	2451532	2451714	lightblue	region
116	211449	214031	+	3	211449	214031	lightblue	region
1160	2452337	2453209	+	1	2452337	2453209	lightblue	region
1162	2454579	2456339	+	1	2454579	2456339	lightblue	region
1163	2456596	2457675	+	1	2456596	2457675	lightblue	region
1164	2459631	2459568	-	2	2459568	2459631	lightblue	region
1165	2460829	2462241	+	1	2460829	2462241	lightblue	region
1167	2462774	2463469	-	1	2462774	2463469	lightblue	region
1168	2463570	2464466	-	1	2463570	2464466	lightblue	region
1169	2464631	2465266	+	1	2464631	2465266	lightblue	region
117	214147	214686	-	1	214147	214686	lightblue	region
1170	2465330	2466193	-	1	2465330	2466193	lightblue	region
1171	2469033	2467565	-	3	2467565	2469033	lightblue	region
1172	2470210	2472168	-	1	2470210	2472168	lightblue	region
1173	2472313	2473209	+	1	2472313	2473209	lightblue	region
1174	2473281	2475278	-	1	2473281	2475278	lightblue	region
1175	2475643	2476800	+	1	2475643	2476800	lightblue	region
1176	2476922	2481175	+	6	2476922	2481175	lightblue	region
1177	2481213	2482493	-	1	2481213	2482493	lightblue	region
1178	2482602	2483399	-	1	2482602	2483399	lightblue	region
1179	2484638	2484623	-	2	2484623	2484638	lightblue	region
118	215045	217675	-	1	215045	217675	lightblue	region
1180	2485701	2488660	+	5	2485701	2488660	lightblue	region
1181	2488730	2490501	+	2	2488730	2490501	lightblue	region
1182	2490737	2491657	-	1	2490737	2491657	lightblue	region
1183	2491894	2492613	-	1	2491894	2492613	lightblue	region
1184	2492671	2494201	+	2	2492671	2494201	lightblue	region
1185	2494303	2495430	+	1	2494303	2495430	lightblue	region
1187	2496194	2497819	+	1	2496194	2497819	lightblue	region
1189	2498866	2499720	-	1	2498866	2499720	lightblue	region
119	217882	219018	-	1	217882	219018	lightblue	region
1190	2499879	2506661	+	6	2499879	2506661	lightblue	region
1191	2507793	2507307	-	3	2507307	2507793	lightblue	region
1192	2510324	2509848	-	3	2509848	2510324	lightblue	region
1193	2510906	2511877	+	1	2510906	2511877	lightblue	region
1194	2512027	2513433	-	1	2512027	2513433	lightblue	region
1195	2513907	2514842	-	1	2513907	2514842	lightblue	region
1196	2515170	2515640	+	1	2515170	2515640	lightblue	region
1197	2515964	2519667	+	2	2515964	2519667	lightblue	region
1198	2519789	2520226	+	1	2519789	2520226	lightblue	region
1199	2520376	2520759	+	1	2520376	2520759	lightblue	region
12	22639	22582	-	2	22582	22639	lightblue	region
120	219174	223873	+	4	219174	223873	lightblue	region
1201	2521767	2522189	-	1	2521767	2522189	lightblue	region
1202	2522916	2524139	+	1	2522916	2524139	lightblue	region
1203	2533882	2524651	-	9	2524651	2533882	lightblue	region
1204	2550967	2539496	-	15	2539496	2550967	lightblue	region
1205	2554555	2555091	-	1	2554555	2555091	lightblue	region
1206	2555383	2556027	+	1	2555383	2556027	lightblue	region
1207	2556197	2560050	+	2	2556197	2560050	lightblue	region
1208	2560115	2561899	+	1	2560115	2561899	lightblue	region
1209	2561978	2563096	-	1	2561978	2563096	lightblue	region
1210	2563560	2564915	+	1	2563560	2564915	lightblue	region
1211	2564988	2568668	-	1	2564988	2568668	lightblue	region
1212	2568865	2570199	+	1	2568865	2570199	lightblue	region
1215	2578907	2577181	-	3	2577181	2578907	lightblue	region
1217	2581188	2581853	-	1	2581188	2581853	lightblue	region
1219	2582314	2583297	-	1	2582314	2583297	lightblue	region
122	226136	226064	-	2	226064	226136	lightblue	region
1220	2583654	2584589	+	2	2583654	2584589	lightblue	region
1221	2584706	2585887	-	1	2584706	2585887	lightblue	region
1222	2586090	2587742	-	1	2586090	2587742	lightblue	region
1223	2588027	2588299	+	1	2588027	2588299	lightblue	region
1224	2588586	2588993	-	1	2588586	2588993	lightblue	region
1225	2589109	2589321	+	1	2589109	2589321	lightblue	region
1226	2590130	2590115	-	2	2590115	2590130	lightblue	region
1227	2602284	2598361	-	5	2598361	2602284	lightblue	region
1228	2602989	2609116	+	4	2602989	2609116	lightblue	region
1229	2610596	2610591	-	2	2610591	2610596	lightblue	region
123	227007	227900	+	1	227007	227900	lightblue	region
1230	2612173	2612937	+	1	2612173	2612937	lightblue	region
1231	2614035	2613448	-	4	2613448	2614035	lightblue	region
1232	2615161	2615091	-	2	2615091	2615161	lightblue	region
1233	2619718	2616837	-	4	2616837	2619718	lightblue	region
1234	2621307	2620552	-	4	2620552	2621307	lightblue	region
1235	2622228	2623007	-	1	2622228	2623007	lightblue	region
1236	2623147	2624357	+	2	2623147	2624357	lightblue	region
1237	2624398	2624586	-	1	2624398	2624586	lightblue	region
1238	2633245	2625627	-	9	2625627	2633245	lightblue	region
1239	2633915	2635024	+	1	2633915	2635024	lightblue	region
124	227975	230452	-	1	227975	230452	lightblue	region
1241	2637132	2637677	-	1	2637132	2637677	lightblue	region
1242	2637800	2638861	+	1	2637800	2638861	lightblue	region
1243	2638957	2639814	+	1	2638957	2639814	lightblue	region
1244	2640022	2641437	+	1	2640022	2641437	lightblue	region
1245	2641589	2642476	+	1	2641589	2642476	lightblue	region
1246	2642619	2644151	+	1	2642619	2644151	lightblue	region
1247	2644318	2644755	+	1	2644318	2644755	lightblue	region
1248	2644942	2646090	+	1	2644942	2646090	lightblue	region
1249	2646087	2647046	-	1	2646087	2647046	lightblue	region
125	230595	235017	+	5	230595	235017	lightblue	region
1250	2647133	2647747	-	1	2647133	2647747	lightblue	region
1251	2647867	2648934	-	1	2647867	2648934	lightblue	region
1252	2649189	2649965	-	1	2649189	2649965	lightblue	region
1253	2650149	2650637	+	1	2650149	2650637	lightblue	region
1254	2662940	2654946	-	9	2654946	2662940	lightblue	region
1256	2664826	2665764	+	1	2664826	2665764	lightblue	region
1257	2666773	2666776	-	2	2666773	2666776	lightblue	region
1258	2667883	2669740	+	2	2667883	2669740	lightblue	region
126	235204	236841	+	2	235204	236841	lightblue	region
1262	2682565	2682283	-	3	2682283	2682565	lightblue	region
1264	2685579	2686838	-	1	2685579	2686838	lightblue	region
1265	2687036	2687362	-	1	2687036	2687362	lightblue	region
1266	2687474	2690291	+	2	2687474	2690291	lightblue	region
1267	2690414	2693857	-	1	2690414	2693857	lightblue	region
1269	2695400	2697861	+	2	2695400	2697861	lightblue	region
127	236896	238371	+	1	236896	238371	lightblue	region
1270	2698064	2700013	+	1	2698064	2700013	lightblue	region
1271	2700393	2702721	+	3	2700393	2702721	lightblue	region
1272	2702930	2703817	+	1	2702930	2703817	lightblue	region
1273	2704005	2705245	+	2	2704005	2705245	lightblue	region
1274	2705383	2706381	+	1	2705383	2706381	lightblue	region
1276	2709463	2710560	-	1	2709463	2710560	lightblue	region
1277	2712512	2712515	-	2	2712512	2712515	lightblue	region
1278	2713181	2715175	+	2	2713181	2715175	lightblue	region
1279	2715397	2718137	+	2	2715397	2718137	lightblue	region
128	238441	241919	+	4	238441	241919	lightblue	region
1280	2718404	2720044	+	1	2718404	2720044	lightblue	region
1281	2722408	2722298	-	2	2722298	2722408	lightblue	region
1282	2724437	2725996	-	1	2724437	2725996	lightblue	region
1283	2726223	2726621	-	1	2726223	2726621	lightblue	region
1284	2726910	2729850	+	2	2726910	2729850	lightblue	region
1285	2730684	2730638	-	2	2730638	2730684	lightblue	region
1286	2731328	2732774	+	2	2731328	2732774	lightblue	region
1287	2733399	2733986	-	1	2733399	2733986	lightblue	region
1288	2734060	2735555	+	2	2734060	2735555	lightblue	region
1289	2737433	2737371	-	2	2737371	2737433	lightblue	region
129	242085	242849	+	1	242085	242849	lightblue	region
1290	2738463	2739779	-	1	2738463	2739779	lightblue	region
1291	2739870	2740244	-	1	2739870	2740244	lightblue	region
1292	2740714	2741799	+	1	2740714	2741799	lightblue	region
1293	2756546	2743574	-	11	2743574	2756546	lightblue	region
1294	2757675	2758832	-	1	2757675	2758832	lightblue	region
1296	2759616	2763279	+	2	2759616	2763279	lightblue	region
1298	2764964	2764956	-	2	2764956	2764964	lightblue	region
1299	2766088	2768711	+	2	2766088	2768711	lightblue	region
13	23229	23756	+	1	23229	23756	lightblue	region
130	243119	245728	+	1	243119	245728	lightblue	region
1300	2786903	2771501	-	16	2771501	2786903	lightblue	region
1301	2788206	2796239	+	7	2788206	2796239	lightblue	region
1302	2796230	2796898	-	1	2796230	2796898	lightblue	region
1303	2796970	2798139	+	1	2796970	2798139	lightblue	region
1304	2799914	2799904	-	2	2799904	2799914	lightblue	region
1305	2800752	2801819	+	1	2800752	2801819	lightblue	region
1306	2802703	2803740	-	1	2802703	2803740	lightblue	region
1307	2803851	2804345	+	1	2803851	2804345	lightblue	region
1308	2804442	2805251	-	1	2804442	2805251	lightblue	region
1309	2806152	2806138	-	2	2806138	2806152	lightblue	region
131	245802	247214	-	1	245802	247214	lightblue	region
1310	2806683	2807357	-	1	2806683	2807357	lightblue	region
1311	2807469	2809148	-	1	2807469	2809148	lightblue	region
1312	2809331	2810530	+	1	2809331	2810530	lightblue	region
1313	2810689	2813220	+	3	2810689	2813220	lightblue	region
1314	2814147	2814019	-	2	2814019	2814147	lightblue	region
1315	2815027	2815893	+	1	2815027	2815893	lightblue	region
1316	2815959	2816447	+	1	2815959	2816447	lightblue	region
1317	2818023	2817999	-	2	2817999	2818023	lightblue	region
1318	2819156	2820004	+	1	2819156	2820004	lightblue	region
1319	2823855	2821992	-	4	2821992	2823855	lightblue	region
132	247468	248049	+	1	247468	248049	lightblue	region
1320	2826089	2827918	+	1	2826089	2827918	lightblue	region
1322	2828779	2830641	-	1	2828779	2830641	lightblue	region
1323	2830781	2831683	+	1	2830781	2831683	lightblue	region
1324	2831857	2833611	+	1	2831857	2833611	lightblue	region
1325	2833768	2835314	+	2	2833768	2835314	lightblue	region
1326	2836059	2838230	-	1	2836059	2838230	lightblue	region
1327	2838368	2840410	-	1	2838368	2840410	lightblue	region
1328	2840690	2841529	+	1	2840690	2841529	lightblue	region
1329	2841635	2842990	+	1	2841635	2842990	lightblue	region
133	248447	252284	+	3	248447	252284	lightblue	region
1331	2847928	2845145	-	4	2845145	2847928	lightblue	region
1333	2851284	2851685	+	1	2851284	2851685	lightblue	region
1334	2851753	2853768	-	1	2851753	2853768	lightblue	region
1335	2853929	2858757	+	3	2853929	2858757	lightblue	region
1336	2858873	2859124	+	1	2858873	2859124	lightblue	region
1337	2859251	2860735	-	1	2859251	2860735	lightblue	region
1338	2860873	2861769	+	1	2860873	2861769	lightblue	region
134	252427	253218	+	1	252427	253218	lightblue	region
1342	2875378	2873878	-	3	2873878	2875378	lightblue	region
1343	2876221	2879581	+	2	2876221	2879581	lightblue	region
1344	2879648	2880553	-	1	2879648	2880553	lightblue	region
1345	2880712	2881914	+	1	2880712	2881914	lightblue	region
1346	2890141	2883335	-	10	2883335	2890141	lightblue	region
1347	2893048	2891601	-	4	2891601	2893048	lightblue	region
1348	2899169	2895852	-	4	2895852	2899169	lightblue	region
1349	2901400	2900654	-	3	2900654	2901400	lightblue	region
135	253297	253929	-	1	253297	253929	lightblue	region
1350	2902458	2908566	+	4	2902458	2908566	lightblue	region
1352	2909814	2910251	+	1	2909814	2910251	lightblue	region
1353	2910338	2911594	-	1	2910338	2911594	lightblue	region
1354	2914009	2913994	-	2	2913994	2914009	lightblue	region
1355	2915342	2915896	+	1	2915342	2915896	lightblue	region
1356	2916002	2916259	+	1	2916002	2916259	lightblue	region
1357	2916346	2916594	-	1	2916346	2916594	lightblue	region
1359	2917087	2918067	-	1	2917087	2918067	lightblue	region
136	256948	255041	-	5	255041	256948	lightblue	region
1360	2922948	2919847	-	5	2919847	2922948	lightblue	region
1361	2925130	2926653	+	1	2925130	2926653	lightblue	region
1362	2926743	2927627	+	1	2926743	2927627	lightblue	region
1363	2929372	2928307	-	3	2928307	2929372	lightblue	region
1364	2931197	2931463	-	1	2931197	2931463	lightblue	region
1365	2932024	2932815	+	1	2932024	2932815	lightblue	region
1366	2932899	2933540	+	1	2932899	2933540	lightblue	region
1367	2939344	2934136	-	6	2934136	2939344	lightblue	region
1368	2939993	2943294	+	4	2939993	2943294	lightblue	region
1369	2944504	2944500	-	2	2944500	2944504	lightblue	region
137	258996	261360	+	2	258996	261360	lightblue	region
1370	2945156	2947547	+	3	2945156	2947547	lightblue	region
1374	1236	1490	+	1	1236	1490	lightblue	region
1376	2149	3983	+	2	2149	3983	lightblue	region
1377	5947	7003	+	2	5947	7003	lightblue	region
1378	7680	8102	+	1	7680	8102	lightblue	region
1379	8166	8897	+	1	8166	8897	lightblue	region
138	261198	261638	-	1	261198	261638	lightblue	region
1380	9013	9882	-	1	9013	9882	lightblue	region
1381	10559	10831	+	1	10559	10831	lightblue	region
1382	13097	13708	+	1	13097	13708	lightblue	region
1384	14521	14928	+	1	14521	14928	lightblue	region
1387	16531	17316	+	1	16531	17316	lightblue	region
1388	17669	17953	+	1	17669	17953	lightblue	region
139	261662	262267	+	1	261662	262267	lightblue	region
1390	20034	21280	+	2	20034	21280	lightblue	region
1391	22029	22028	-	2	22028	22029	lightblue	region
1392	24322	25206	+	1	24322	25206	lightblue	region
1393	25285	27696	-	1	25285	27696	lightblue	region
1396	29952	30650	+	1	29952	30650	lightblue	region
1397	31141	37124	+	6	31141	37124	lightblue	region
1398	37601	47461	+	8	37601	47461	lightblue	region
1399	47695	48183	+	1	47695	48183	lightblue	region
140	262430	264836	+	2	262430	264836	lightblue	region
1401	713	2081	+	2	713	2081	lightblue	region
1403	5594	4145	-	3	4145	5594	lightblue	region
1404	8021	10117	-	1	8021	10117	lightblue	region
1405	10621	10989	+	1	10621	10989	lightblue	region
1406	11292	11603	-	1	11292	11603	lightblue	region
1407	12166	13170	-	1	12166	13170	lightblue	region
1408	13321	13896	-	1	13321	13896	lightblue	region
1409	14115	16796	+	1	14115	16796	lightblue	region
141	264915	265679	+	1	264915	265679	lightblue	region
1410	16846	17733	-	1	16846	17733	lightblue	region
1411	17966	20101	+	1	17966	20101	lightblue	region
1412	20389	22086	-	1	20389	22086	lightblue	region
1413	22401	22853	-	1	22401	22853	lightblue	region
1414	23021	23812	+	1	23021	23812	lightblue	region
1415	23924	24406	-	1	23924	24406	lightblue	region
1416	24522	25307	+	1	24522	25307	lightblue	region
1417	26073	26061	-	2	26061	26073	lightblue	region
1418	26786	27771	+	2	26786	27771	lightblue	region
1419	31590	29447	-	4	29447	31590	lightblue	region
142	265706	267535	-	1	265706	267535	lightblue	region
1420	33619	34140	-	1	33619	34140	lightblue	region
1421	34233	35165	-	1	34233	35165	lightblue	region
1422	35405	35656	+	1	35405	35656	lightblue	region
1423	35738	36676	-	1	35738	36676	lightblue	region
1424	36934	38367	+	1	36934	38367	lightblue	region
1426	43187	40142	-	4	40142	43187	lightblue	region
1427	44440	47779	+	3	44440	47779	lightblue	region
1428	47944	48351	+	1	47944	48351	lightblue	region
1429	48412	49086	-	1	48412	49086	lightblue	region
143	267718	270934	+	2	267718	270934	lightblue	region
1430	49188	50096	+	1	49188	50096	lightblue	region
1431	50412	51062	+	1	50412	51062	lightblue	region
1432	51329	51739	+	1	51329	51739	lightblue	region
1433	51969	53717	+	1	51969	53717	lightblue	region
1434	53859	54995	+	1	53859	54995	lightblue	region
1435	55071	55724	-	1	55071	55724	lightblue	region
1436	55876	57878	+	2	55876	57878	lightblue	region
1437	58452	59282	+	1	58452	59282	lightblue	region
1438	59548	60843	-	1	59548	60843	lightblue	region
1439	60967	61959	-	1	60967	61959	lightblue	region
144	271404	285073	+	28	271404	285073	lightblue	region
1440	62553	65594	+	2	62553	65594	lightblue	region
1442	68265	68777	+	1	68265	68777	lightblue	region
1443	70338	70345	-	2	70338	70345	lightblue	region
1444	75353	73298	-	5	73298	75353	lightblue	region
1445	75895	77571	+	2	75895	77571	lightblue	region
1446	77862	77858	-	2	77858	77862	lightblue	region
1447	81911	81909	-	2	81909	81911	lightblue	region
1448	83930	83483	-	3	83483	83930	lightblue	region
1449	84402	84587	+	1	84402	84587	lightblue	region
145	285217	285693	-	1	285217	285693	lightblue	region
1450	84653	86356	+	1	84653	86356	lightblue	region
1451	86450	86830	-	1	86450	86830	lightblue	region
1452	89891	88691	-	4	88691	89891	lightblue	region
1453	91655	91658	-	2	91655	91658	lightblue	region
1455	93112	94551	-	1	93112	94551	lightblue	region
1456	94852	97566	+	2	94852	97566	lightblue	region
1457	97667	98587	-	1	97667	98587	lightblue	region
1458	98985	100523	+	1	98985	100523	lightblue	region
1459	100628	102238	-	1	100628	102238	lightblue	region
146	285835	286455	-	1	285835	286455	lightblue	region
1460	102424	103038	-	1	102424	103038	lightblue	region
1461	103260	103733	+	1	103260	103733	lightblue	region
1462	103814	104419	-	1	103814	104419	lightblue	region
1463	104599	106362	+	1	104599	106362	lightblue	region
1464	106754	108121	+	1	106754	108121	lightblue	region
1465	109600	109589	-	2	109589	109600	lightblue	region
1466	111481	112776	+	1	111481	112776	lightblue	region
1468	114128	115159	+	1	114128	115159	lightblue	region
1469	115825	115835	-	2	115825	115835	lightblue	region
147	286681	287247	+	1	286681	287247	lightblue	region
1470	117746	122188	+	5	117746	122188	lightblue	region
1471	122370	123638	-	1	122370	123638	lightblue	region
1472	123824	131834	+	6	123824	131834	lightblue	region
1473	135348	133695	-	4	133695	135348	lightblue	region
1474	137665	137661	-	2	137661	137665	lightblue	region
1476	140107	140778	-	1	140107	140778	lightblue	region
1477	141182	143065	+	1	141182	143065	lightblue	region
1478	143368	144591	+	1	143368	144591	lightblue	region
1479	144715	147870	-	1	144715	147870	lightblue	region
148	288093	288090	-	2	288090	288093	lightblue	region
1480	148542	149690	+	1	148542	149690	lightblue	region
1481	149841	150458	+	1	149841	150458	lightblue	region
1482	154058	151717	-	3	151717	154058	lightblue	region
1483	155626	157005	+	1	155626	157005	lightblue	region
1484	157086	158546	+	1	157086	158546	lightblue	region
1485	158666	161620	-	1	158666	161620	lightblue	region
1486	161708	163210	+	2	161708	163210	lightblue	region
1487	163279	163899	-	1	163279	163899	lightblue	region
1488	164204	164560	+	1	164204	164560	lightblue	region
1489	164709	165546	+	2	164709	165546	lightblue	region
149	288768	290150	+	1	288768	290150	lightblue	region
1490	165602	167701	-	1	165602	167701	lightblue	region
1491	167852	170029	+	1	167852	170029	lightblue	region
1492	170983	170986	-	2	170983	170986	lightblue	region
1493	171773	171997	+	1	171773	171997	lightblue	region
1494	172575	173684	+	1	172575	173684	lightblue	region
